env,state_x,num_samples,total_games,total_success,overall_pass_rate,mean_sample_pass_rate,std_sample_pass_rate,sem_sample_pass_rate,min_sample_pass_rate,max_sample_pass_rate,notebook_hash,notebook_size_lines,reference_prompt_matches_template
sokoban,24,8,80,28,0.35,0.35000000000000003,0.1690308509457033,0.059761430466719674,0.1,0.6,1f564e6a9a9652a919de7c8085867b02f9c753aba7522b4eb111bc651b4526f8,22,True
sokoban,25,8,80,29,0.3625,0.3625,0.17677669529663687,0.06249999999999999,0.1,0.6,64cddcfefe98dc04ce8f9738df303107c469ad9f0ec3dc8b959a5fb1a9a42acf,21,True
sokoban,26,8,80,26,0.325,0.325,0.14880476182856897,0.052610428080915116,0.2,0.6,36ff0e0c476e56dfb27011464fbce494d8c5fd9dc410a8ae00145e714f75671f,23,True
sokoban,27,8,80,33,0.4125,0.4125,0.13562026818605374,0.047949005650348396,0.3,0.7,6b552f287e68b196fe4416ef5fbabdec75f32e8fa0be1e463a38d5f2e6f83d77,24,True
sokoban,28,8,80,29,0.3625,0.3625,0.15059406173077153,0.05324304112812704,0.1,0.6,60d7ff74a1e08fbefbfcd49d640255101b2a3f4619af2252f9170a5176d40475,28,True
sokoban,29,8,80,33,0.4125,0.4125,0.13562026818605374,0.047949005650348396,0.2,0.6,60d7ff74a1e08fbefbfcd49d640255101b2a3f4619af2252f9170a5176d40475,28,True
sokoban,30,8,80,20,0.25,0.25,0.10690449676496976,0.03779644730092272,0.1,0.4,350c7402ff68f22a6a3f6622d2f48c8d3a3f1beafb472177e150413a2f0245b0,29,True
sokoban,31,8,80,24,0.3,0.3,0.17728105208558367,0.06267831705280087,0.0,0.6,a81515f92337faa95d54de23332896034a7d6cf909c3ab72bd1201215fe8cc09,28,True
sokoban,32,8,80,19,0.2375,0.2375,0.13024701806293193,0.04604927485081295,0.1,0.5,521eb8d1f0dccf55a3fbc0f26d13932275a343f5633ba352889ab6cdea1decdf,38,True
sokoban,33,8,80,19,0.2375,0.23750000000000002,0.15059406173077153,0.05324304112812704,0.1,0.5,1a215417f8758fe172cb2b2e90dae9ac5c3e2c25dcd433f55de2bc70c0ca69f2,31,True
sokoban,34,8,80,21,0.2625,0.2625,0.15979898086569352,0.05649747149841562,0.1,0.5,1a215417f8758fe172cb2b2e90dae9ac5c3e2c25dcd433f55de2bc70c0ca69f2,31,True
sokoban,35,8,80,23,0.2875,0.2875,0.11259916264596033,0.03980981573144277,0.1,0.5,6236e2103b77248505726d2f6b4acd4e5dc7d3771eba1f68ce530b3299163013,31,True
sokoban,36,8,80,21,0.2625,0.2625,0.1407885953173359,0.049776285231308406,0.0,0.4,a9b7be43227f2f838eddd0baa475d4009ac7d7a336fb4355bba0e439d01ea4d3,32,True
sokoban,37,8,80,30,0.375,0.375,0.18322507626258083,0.0647798469543466,0.2,0.7,cf85b154da9d20676eb0e2ddccc3f7a391158d16c60a93fa7497c3c5a680cfc8,32,True
sokoban,38,8,80,24,0.3,0.3,0.13093073414159542,0.046291004988627565,0.1,0.5,1b70070f6e5853391fcde76d5ce6e223e1985d713ab469e3fbdc00676ce8a6a5,31,True
sokoban,39,8,80,25,0.3125,0.3125,0.15526475085202968,0.05489437910335498,0.2,0.6,82563d76703a917fd67d477f32ea3785a3601d03b0509385c169df0b578ac20e,25,True
sokoban,40,8,80,27,0.3375,0.3375,0.15059406173077153,0.05324304112812704,0.2,0.6,0bbded51735de71c99dec4e8922bf6b74a490d63d14bf9a058a00e65de88fdc1,25,True
