source,variant,run,env,state_x,condition,num_samples,total_games,mean_sample_pass_rate,median_sample_pass_rate,std_sample_pass_rate
origlogs,mechanism,origlogs_mechanism,sokoban,20,original,8,160,0.26875,0.275,0.05938674695827103
origlogs,mechanism,origlogs_mechanism,sokoban,20,updated,8,160,0.35625,0.35,0.07763237542601487
origlogs,mechanism,origlogs_mechanism,sokoban,21,original,8,160,0.3125,0.275,0.09161253813129043
origlogs,mechanism,origlogs_mechanism,sokoban,21,updated,8,160,0.34375,0.375,0.08634441002668988
origlogs,mechanism,origlogs_mechanism,sokoban,22,original,8,160,0.34375,0.375,0.09797047660246574
origlogs,mechanism,origlogs_mechanism,sokoban,22,updated,8,160,0.3125,0.3,0.06943650748294136
origlogs,mechanism,origlogs_mechanism,sokoban,23,original,8,160,0.375,0.4,0.08017837257372731
origlogs,mechanism,origlogs_mechanism,sokoban,23,updated,8,160,0.4,0.4,0.07071067811865477
origlogs,mechanism,origlogs_mechanism,sokoban,24,original,8,160,0.3375,0.35,0.08762745818846641
origlogs,mechanism,origlogs_mechanism,sokoban,24,updated,8,160,0.34375,0.375,0.10835622468770048
origlogs,mechanism,origlogs_mechanism,sokoban,25,original,8,160,0.325,0.35,0.08864052604279184
origlogs,mechanism,origlogs_mechanism,sokoban,25,updated,8,160,0.28125,0.25,0.09977653603356425
origlogs,mechanism,origlogs_mechanism,sokoban,26,original,8,160,0.31875,0.32499999999999996,0.11630471062809844
origlogs,mechanism,origlogs_mechanism,sokoban,26,updated,8,160,0.3125,0.3,0.10606601717798213
origlogs,mechanism,origlogs_mechanism,sokoban,27,original,8,160,0.28125,0.25,0.07989949043284678
origlogs,mechanism,origlogs_mechanism,sokoban,27,updated,8,160,0.38125,0.42500000000000004,0.13871218918527464
origlogs,mechanism,origlogs_mechanism,sokoban,28,original,8,160,0.3125,0.3,0.06943650748294136
origlogs,mechanism,origlogs_mechanism,sokoban,28,updated,8,160,0.375,0.375,0.10350983390135314
origlogs,mechanism,origlogs_mechanism,sokoban,29,original,8,160,0.36875,0.375,0.05938674695827105
origlogs,mechanism,origlogs_mechanism,sokoban,29,updated,8,160,0.3375,0.35,0.06943650748294136
origlogs,mechanism,origlogs_mechanism,sokoban,30,original,8,160,0.30624999999999997,0.3,0.04955156044825573
origlogs,mechanism,origlogs_mechanism,sokoban,30,updated,8,160,0.3625,0.32499999999999996,0.07440238091428451
origlogs,mechanism,origlogs_mechanism,sokoban,31,original,8,160,0.45625,0.45,0.13479481761975443
origlogs,mechanism,origlogs_mechanism,sokoban,31,updated,8,160,0.31875,0.32499999999999996,0.09234059624177068
origlogs,mechanism,origlogs_mechanism,sokoban,32,original,8,160,0.2875,0.275,0.06408699444616557
origlogs,mechanism,origlogs_mechanism,sokoban,32,updated,8,160,0.39375,0.375,0.13741880719693567
origlogs,mechanism,origlogs_mechanism,sokoban,33,original,3,75,0.4166666666666667,0.45,0.10408329997330665
origlogs,mechanism,origlogs_mechanism,sokoban,33,updated,3,75,0.35,0.35,0.0
